isolate_id_orig,Isolate_ID(GL),Strain_Number,lineage,Host_genus,Host_species,Year,Country,State,County,Town,Host_Environment,Sample_Type,GPS Coordinates,lat,lon,List,Notes,Duplicate
7881-H1,,9333,NA1,Notholithocarpus,densiflorus,2005,,,,,,,,42.08049,-124.26245,CurryCo_List,,
7881-A1,PR-13-296,9338,NA1,Notholithocarpus,densiflorus,2005,USA,OR,Curry,,,,,42.10959,-124.23961,CurryCo_List/GLCC_DB,,
7881-D3,,9365,NA1,Notholithocarpus,densiflorus,2005,,,,,,,,42.07918,-124.26262,CurryCo_List,,
7612-F12,,9386,NA1,Notholithocarpus,densiflorus,2005,,,,,,,,42.08025,-124.26092,CurryCo_List,,
7881-C3,,9387,NA1,Notholithocarpus,densiflorus,2005,,,,,,,,42.08025,-124.26092,CurryCo_List,,
7885-C1,,9388,NA1,Notholithocarpus,densiflorus,2005,,,,,,,,42.08025,-124.26092,CurryCo_List,,
7881-B3,,9401,NA1,Notholithocarpus,densiflorus,2005,,,,,,,,42.08025,-124.26092,CurryCo_List,,
7881-A3,,9407,NA1,Notholithocarpus,densiflorus,2005,,,,,,,,42.08048,-124.26007,CurryCo_List,,
Pram_PR_11_001_NA1,PR-11-001,9488,NA1,Notholithocarpus,densiflorus,2006,USA,OR,Curry,,Forest,,,,,GLCC_DB,,
Pram_PR_11_004_NA1,PR-11-004,11372,NA1,Notholithocarpus,densiflorus,2011,USA,OR,Curry,,Forest,,,,,GLCC_DB,,
7613-H5,PR-16-190,13340,EU1,Notholithocarpus,densiflorus,2015,USA,OR,Curry,,Forest,,,42.29182,-124.39732,CurryCo_List/GLCC_DB,,
7613-D1,PR-16-191,13341,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29182,-124.39735,CurryCo_List/GLCC_DB,,
PR-13-132,PR-13-132,13916,NA1,Notholithocarpus,densiflorus,2013,USA,OR,Curry,,Forest,bark,,,,GLCC_DB,,
PR-13-158,PR-13-158,14004,NA1,Notholithocarpus,densiflorus,2013,USA,OR,Curry,,Forest,bark,,,,GLCC_DB,,
PR-14-021,PR-14-021,14167,NA1,Notholithocarpus,densiflorus,2014,USA,OR,Curry,,Forest,bark,,,,GLCC_DB,,
PR-14-028,PR-14-028,14172,NA1,Notholithocarpus,densiflorus,2014,USA,OR,Curry,,Forest,bark,,,,GLCC_DB,,
7613-C7,PR-17-156,15201,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29361,-124.39993,CurryCo_List/GLCC_DB,,
7881-G5,PR-17-157,15202,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29688,-124.40091,CurryCo_List/GLCC_DB,,
7881-A11,PR-17-158,15203,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29692,-124.40073,CurryCo_List/GLCC_DB,,
7613-B5,PR-17-159,15204,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29687,-124.40076,CurryCo_List/GLCC_DB,,
7613-C5,PR-17-160,15205,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29429,-124.39993,CurryCo_List/GLCC_DB,,
7613-A2,PR-16-117,15276,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29137,-124.39761,CurryCo_List/GLCC_DB,,
7613-C1,PR-16-132,15278,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.2919,-124.39754,CurryCo_List/GLCC_DB,,
7881-A6,PR-16-118,15279,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29169,-124.3972,CurryCo_List/GLCC_DB,,
7613-D8,PR-17-373,15295,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,,,GLCC_DB,,
7881-E6,PR-16-126,15422,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29179,-124.39801,CurryCo_List/GLCC_DB,,
7613-A1,PR-16-140,15423,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29163,-124.39736,CurryCo_List/GLCC_DB,,
7881-E9,PR-16-128,15453,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.2915,-124.39806,CurryCo_List/GLCC_DB,,
7881-C6,PR-16-141,15454,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29132,-124.39821,CurryCo_List/GLCC_DB,,
7881-B6,PR-16-129,15455,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29176,-124.39835,CurryCo_List/GLCC_DB,,
7613-B1,PR-16-144,15465,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29116,-124.39548,CurryCo_List/GLCC_DB,,
7881-D7,PR-16-130,15466,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29182,-124.39737,CurryCo_List/GLCC_DB,,
7881-G10,PR-16-163,15512,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29247,-124.39927,CurryCo_List/GLCC_DB,,
7613-F1,PR-16-164,15513,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29147,-124.39869,CurryCo_List/GLCC_DB,,
7881-F10,PR-16-193,15581,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.2919,-124.39764,CurryCo_List/GLCC_DB,,
7881-F11,PR-16-195,15585,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29176,-124.39729,CurryCo_List/GLCC_DB,,
7613-B12,PR-16-200,15586,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29177,-124.39722,CurryCo_List/GLCC_DB,,
7881-H8,PR-16-196,15587,EU1,Notholithocarpus,densiflorus,2016,USA,OR,Curry,,Forest,,,42.29167,-124.39727,CurryCo_List/GLCC_DB,,
7613-D11,PR-17-075,15699,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29308,-124.39828,CurryCo_List/GLCC_DB,,
7881-A7,PR-17-009,15723,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,,,GLCC_DB,,
7613-F12,PR-17-024,15730,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29353,-124.39951,CurryCo_List/GLCC_DB,,
7613-A12,PR-17-076,15750,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29308,-124.39848,CurryCo_List/GLCC_DB,,
7613-A4,PR-17-077,15751,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29318,-124.3987,CurryCo_List/GLCC_DB,,
7613-F2,PR-17-078,15765,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.30305,-124.39849,CurryCo_List/GLCC_DB,,
7613-G2,PR-17-096,15776,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.2935,-124.39967,CurryCo_List/GLCC_DB,,
7613-H2,PR-17-098,15778,EU1,Notholithocarpus,densiflorus,2017,USA,OR,Curry,,Forest,,,42.29342,-124.394,CurryCo_List/GLCC_DB,,
