Country	United States	39.76	-98.5
Country	Germany	51.5	10.5
Country	Belgium	50.75	4.5
Country	United Kingdom	54.75844	-2.69531
Country	Japan	35.68536	139.75309
Country	England	52.16045	-0.70312
Country	Ireland	53	-8
Country	Scotland	56	-4
Country	Netherlands	52.25	5.75
Country	Canada	60.10867	-113.64258
Country	France	46	2
Country	Vietnam	16.16667	107.83333
State	California	37.25022	-119.75126
State	Oregon	44.00013	-120.50139
State	North Carolina	35.50069	-80.00032
State	South Carolina	34.00043	-81.00009
State	Washington	47.50012	-120.50147
State	Georgia	32.75042	-83.50018
State	Mississippi	32.75041	-89.75036
State	West Sussex	51	-0.41667
State	Cheshire	53.16667	-2.58333
State	Dorset	50.80249	-2.3045
State	Cornwall	50.41667	-4.75
State	Devon	50.75	-3.75
State	United States	39.76	-98.5
State	Germany	51.5	10.5
State	Belgium	50.75	4.5
State	United Kingdom	54.75844	-2.69531
State	Japan	35.68536	139.75309
State	England	52.16045	-0.70312
State	Ireland	53	-8
State	Scotland	56	-4
State	Netherlands	52.25	5.75
State	Canada	60.10867	-113.64258
State	France	46	2
State	Vietnam	16.16667	107.83333
